station_id,station_name,station_number,full_station_name,station_type,latitude,longitude,status,county_name,sample_code,sample_date,sample_depth,sample_depth_units,anl_data_type,parameter,fdr_result,fdr_text_result,fdr_date_result,fdr_reporting_limit,uns_name,mth_name,fdr_footnote
12,H.O. Banks Headworks,KA000331,Delta P.P. Headworks at H.O. Banks PP,Surface Water,37.8019,-121.6203,"Public, Review Status Unknown",Alameda,OM0568A0053,23-05-1968 10:30,1,Feet,,ElectricalConductance,240,,,1,uS/cm,Std Method 2510-B (Field),
12,H.O. Banks Headworks,KA000331,Delta P.P. Headworks at H.O. Banks PP,Surface Water,37.8019,-121.6203,"Public, Review Status Unknown",Alameda,OM0568A0053,23-05-1968 10:30,1,Feet,,pH,7.6,,,0.1,pH Units,EPA 150.1 (Field),
12,H.O. Banks Headworks,KA000331,Delta P.P. Headworks at H.O. Banks PP,Surface Water,37.8019,-121.6203,"Public, Review Status Unknown",Alameda,OM0568A0054,28-05-1968 13:00,1,Feet,,DissolvedOxygen,7.5,,,0.2,mg/L,EPA 360.2 (Field),
12,H.O. Banks Headworks,KA000331,Delta P.P. Headworks at H.O. Banks PP,Surface Water,37.8019,-121.6203,"Public, Review Status Unknown",Alameda,OM0568A0054,28-05-1968 13:00,1,Feet,,ElectricalConductance,278,,,1,uS/cm,Std Method 2510-B (Field),
12,H.O. Banks Headworks,KA000331,Delta P.P. Headworks at H.O. Banks PP,Surface Water,37.8019,-121.6203,"Public, Review Status Unknown",Alameda,OM0568A0054,28-05-1968 13:00,1,Feet,,WaterTemperature,21.1,,,0.1,°C,EPA 170.1 (Field),
12,H.O. Banks Headworks,KA000331,Delta P.P. Headworks at H.O. Banks PP,Surface Water,37.8019,-121.6203,"Public, Review Status Unknown",Alameda,OM0568A0054,28-05-1968 13:00,1,Feet,,pH,7.6,,,0.1,pH Units,EPA 150.1 (Field),
12,H.O. Banks Headworks,KA000331,Delta P.P. Headworks at H.O. Banks PP,Surface Water,37.8019,-121.6203,"Public, Review Status Unknown",Alameda,OM0668A0059,05-06-1968 08:30,1,Feet,,DissolvedOxygen,8.5,,,0.2,mg/L,EPA 360.2 (Field),
12,H.O. Banks Headworks,KA000331,Delta P.P. Headworks at H.O. Banks PP,Surface Water,37.8019,-121.6203,"Public, Review Status Unknown",Alameda,OM0668A0059,05-06-1968 08:30,1,Feet,,WaterTemperature,20,,,0.1,°C,EPA 170.1 (Field),
12,H.O. Banks Headworks,KA000331,Delta P.P. Headworks at H.O. Banks PP,Surface Water,37.8019,-121.6203,"Public, Review Status Unknown",Alameda,OM0668A0059,05-06-1968 08:30,1,Feet,,pH,7.7,,,0.1,pH Units,EPA 150.1 (Field),
12,H.O. Banks Headworks,KA000331,Delta P.P. Headworks at H.O. Banks PP,Surface Water,37.8019,-121.6203,"Public, Review Status Unknown",Alameda,OM0668A0069,12-06-1968 07:30,1,Feet,,DissolvedOxygen,8.5,,,0.2,mg/L,EPA 360.2 (Field),
12,H.O. Banks Headworks,KA000331,Delta P.P. Headworks at H.O. Banks PP,Surface Water,37.8019,-121.6203,"Public, Review Status Unknown",Alameda,OM0668A0069,12-06-1968 07:30,1,Feet,,pH,7.7,,,0.1,pH Units,EPA 150.1 (Field),
12,H.O. Banks Headworks,KA000331,Delta P.P. Headworks at H.O. Banks PP,Surface Water,37.8019,-121.6203,"Public, Review Status Unknown",Alameda,OM0668A0072,18-06-1968 20:00,1,Feet,,DissolvedOxygen,6.6,,,0.2,mg/L,EPA 360.2 (Field),
12,H.O. Banks Headworks,KA000331,Delta P.P. Headworks at H.O. Banks PP,Surface Water,37.8019,-121.6203,"Public, Review Status Unknown",Alameda,OM0668A0072,18-06-1968 20:00,1,Feet,,WaterTemperature,21.1,,,0.1,°C,EPA 170.1 (Field),
12,H.O. Banks Headworks,KA000331,Delta P.P. Headworks at H.O. Banks PP,Surface Water,37.8019,-121.6203,"Public, Review Status Unknown",Alameda,OM0668A0072,18-06-1968 20:00,1,Feet,,pH,7.7,,,0.1,pH Units,EPA 150.1 (Field),
12,H.O. Banks Headworks,KA000331,Delta P.P. Headworks at H.O. Banks PP,Surface Water,37.8019,-121.6203,"Public, Review Status Unknown",Alameda,OM0668A0073,28-06-1968 11:00,1,Feet,,DissolvedOxygen,7.4,,,0.2,mg/L,EPA 360.2 (Field),
12,H.O. Banks Headworks,KA000331,Delta P.P. Headworks at H.O. Banks PP,Surface Water,37.8019,-121.6203,"Public, Review Status Unknown",Alameda,OM0668A0073,28-06-1968 11:00,1,Feet,,ElectricalConductance,325,,,1,uS/cm,Std Method 2510-B (Field),
12,H.O. Banks Headworks,KA000331,Delta P.P. Headworks at H.O. Banks PP,Surface Water,37.8019,-121.6203,"Public, Review Status Unknown",Alameda,OM0668A0073,28-06-1968 11:00,1,Feet,,WaterTemperature,24.4,,,0.1,°C,EPA 170.1 (Field),
12,H.O. Banks Headworks,KA000331,Delta P.P. Headworks at H.O. Banks PP,Surface Water,37.8019,-121.6203,"Public, Review Status Unknown",Alameda,OM0668A0073,28-06-1968 11:00,1,Feet,,pH,7,,,0.1,pH Units,EPA 150.1 (Field),
12,H.O. Banks Headworks,KA000331,Delta P.P. Headworks at H.O. Banks PP,Surface Water,37.8019,-121.6203,"Public, Review Status Unknown",Alameda,OM0768A0082,11-07-1968 12:00,1,Feet,,DissolvedOxygen,6.7,,,0.2,mg/L,EPA 360.2 (Field),
12,H.O. Banks Headworks,KA000331,Delta P.P. Headworks at H.O. Banks PP,Surface Water,37.8019,-121.6203,"Public, Review Status Unknown",Alameda,OM0768A0082,11-07-1968 12:00,1,Feet,,ElectricalConductance,438,,,1,uS/cm,Std Method 2510-B (Field),
12,H.O. Banks Headworks,KA000331,Delta P.P. Headworks at H.O. Banks PP,Surface Water,37.8019,-121.6203,"Public, Review Status Unknown",Alameda,OM0768A0082,11-07-1968 12:00,1,Feet,,WaterTemperature,23.3,,,0.1,°C,EPA 170.1 (Field),
